"","E003","E004","E005","E006","E007","E011","E012","E013","E016","E024","E050","E053","E054","E058","E065","E066","E070","E071","E079","E084","E085","E094","E095","E096","E097","E098","E100","E104","E105","E106","E109","E112","E113"
"ENSG00000134744",6.967,5.201,6.29,2.98,16.17,12.421,12.779,9.119,6.9,9.185,10.242,5.928,7.244,5.423,1.666,2.637,14.984,6.734,2.557,8.181,8.534,2.28,2.916,2.131,6.047,3.101,6.048,2.689,2.49,3.054,1.581,7.615,3.539
"ENSG00000134748",34.13,45.409,26.897,13.195,36.831,22.759,30.62,18.174,27.511,24.813,46.819,26.741,28.516,13.462,28.42,13.334,33.333,19.562,15.704,25.725,26.921,21.451,12.228,16.824,25.953,10.783,13.951,8.834,13.627,23.47,26.386,25.101,19.393
"ENSG00000134755",36.176,29.455,84.222,1.321,7.099,15.284,12.869,26.585,23.126,24.479,1.724,0.436,0.133,34.769,6.186,6.097,1.03,1.109,48.073,40.959,47.775,5.236,9.633,2.749,0.846,5.01,0.173,6.936,6.806,36.325,21.543,15.904,1.091
"ENSG00000134757",0.173,0.129,0.023,0.002,0,0.007,0,0.029,0.039,0.023,0,0,0,115.638,0.776,0,0,0.005,102.067,0.088,0.013,0,0.006,0.019,0,0.024,0.006,0.01,0.008,1.003,2.762,47.343,0.053
"ENSG00000134758",25.153,44.226,4.775,4.911,25.489,21.016,28.394,13.366,44.037,26.973,57.297,5.729,6.923,12.859,10.024,11.093,14.407,6.228,9.346,17.572,17.145,13.534,4.197,15.403,12.504,8.57,3.635,5.582,5.766,14.982,17.891,34.774,25.212
"ENSG00000134759",14.407,13.851,6.442,8.503,12.047,15.084,18.453,15.388,19.665,15.882,24.555,7.117,9.549,9.728,9.435,16.914,17.669,12.573,8.851,15.768,15.977,12.005,10.17,10.001,22.422,10.463,8.219,8.355,10.152,7.539,8.356,17.209,10.767
"ENSG00000134760",0.009,0.003,0.011,0.002,0.006,0,0.005,0.006,0.012,0.006,0,0,0,11.912,0.082,5.23,0,0.022,6.979,0.127,0.091,0,0.08,0.007,0,0,0,0.391,0.017,0.005,0.021,3.988,0.006
"ENSG00000134762",4.291,1.206,0.323,1.292,1.083,0.549,0.552,5.162,0.978,0.998,0.005,0.364,0.056,113.585,2.81,0.008,0.18,0,32.943,2.133,0.836,0.019,0.156,0.699,0.419,0.073,0.003,0.176,0.339,0.082,0.207,18.515,0.053
"ENSG00000134765",0.02,0.013,0.253,0.004,0,0.002,0.002,0.007,0.014,0.009,0,0,0,6.037,0,0,0,0.111,0.031,0.064,0.036,0,0.466,0,0,0,0,10.428,0.163,0.069,0.003,0.929,0
"ENSG00000134769",3.972,9.371,0.889,1.598,14.077,3.883,2.587,3.039,3.474,6.881,0.005,29.337,34.515,0.061,13.48,0.216,10.86,60.75,9.608,2.293,4.889,3.448,15.728,1.563,1.701,5.793,5.527,23.524,15.287,0.757,1.054,0.593,2.242
